Cache,N,s,Samples,IsScan,CacheSizePercent,HitRatio,Duration
ClassicLru,50000,0.5,1000000,False,1.25,3.2197999999999998,00:00:00.2055424
ConcurrentLru,50000,0.5,1000000,False,1.25,7.5527999999999995,00:00:00.2979808
ClassicLru,50000,0.5,1000000,True,1.25,1.46835,00:00:00.2979856
ConcurrentLru,50000,0.5,1000000,True,1.25,3.74975,00:00:00.3902968
ClassicLru,50000,0.5,1000000,False,2.5,5.91,00:00:00.1639098
ConcurrentLru,50000,0.5,1000000,False,2.5,10.918,00:00:00.1824109
ClassicLru,50000,0.5,1000000,True,2.5,2.85985,00:00:00.3144786
ConcurrentLru,50000,0.5,1000000,True,2.5,5.81055,00:00:00.3837904
ClassicLru,50000,0.5,1000000,False,5,10.5474,00:00:00.1711151
ConcurrentLru,50000,0.5,1000000,False,5,15.687000000000001,00:00:00.1868689
ClassicLru,50000,0.5,1000000,True,5,5.427350000000001,00:00:00.3410158
ConcurrentLru,50000,0.5,1000000,True,5,9.14255,00:00:00.3811616
ClassicLru,50000,0.5,1000000,False,7.5,14.636299999999999,00:00:00.1639596
ConcurrentLru,50000,0.5,1000000,False,7.5,19.3699,00:00:00.1855085
ClassicLru,50000,0.5,1000000,True,7.5,7.827050000000001,00:00:00.3390018
ConcurrentLru,50000,0.5,1000000,True,7.5,12.01495,00:00:00.3938638
ClassicLru,50000,0.5,1000000,False,10,18.4194,00:00:00.1729088
ConcurrentLru,50000,0.5,1000000,False,10,22.6858,00:00:00.1819089
ClassicLru,50000,0.5,1000000,True,10,10.13805,00:00:00.3268550
ConcurrentLru,50000,0.5,1000000,True,10,14.585,00:00:00.4024227
ClassicLru,50000,0.5,1000000,False,12.5,21.9567,00:00:00.1772078
ConcurrentLru,50000,0.5,1000000,False,12.5,25.563999999999997,00:00:00.1899044
ClassicLru,50000,0.5,1000000,True,12.5,12.3596,00:00:00.3507334
ConcurrentLru,50000,0.5,1000000,True,12.5,17.034399999999998,00:00:00.4221228
ClassicLru,50000,0.5,1000000,False,15,25.2452,00:00:00.1778004
ConcurrentLru,50000,0.5,1000000,False,15,28.26,00:00:00.1808099
ClassicLru,50000,0.5,1000000,True,15,14.5378,00:00:00.3379707
ConcurrentLru,50000,0.5,1000000,True,15,19.39845,00:00:00.3903043
ClassicLru,50000,0.5,1000000,False,20,31.401899999999998,00:00:00.1912392
ConcurrentLru,50000,0.5,1000000,False,20,33.2271,00:00:00.1755558
ClassicLru,50000,0.5,1000000,True,20,18.75085,00:00:00.3556283
ConcurrentLru,50000,0.5,1000000,True,20,23.90755,00:00:00.3807309
ClassicLru,50000,0.5,1000000,False,25,37.160199999999996,00:00:00.2096830
ConcurrentLru,50000,0.5,1000000,False,25,37.504799999999996,00:00:00.1829535
ClassicLru,50000,0.5,1000000,True,25,22.827,00:00:00.5985172
ConcurrentLru,50000,0.5,1000000,True,25,28.1834,00:00:00.7012652
ClassicLru,50000,0.5,1000000,False,30,42.5282,00:00:00.2038997
ConcurrentLru,50000,0.5,1000000,False,30,41.5096,00:00:00.1820399
ClassicLru,50000,0.5,1000000,True,30,26.73275,00:00:00.4365906
ConcurrentLru,50000,0.5,1000000,True,30,31.9988,00:00:00.3913532
ClassicLru,50000,0.5,1000000,False,35,47.5821,00:00:00.1987539
ConcurrentLru,50000,0.5,1000000,False,35,45.3048,00:00:00.1607282
ClassicLru,50000,0.5,1000000,True,35,30.569499999999998,00:00:00.4088124
ConcurrentLru,50000,0.5,1000000,True,35,35.957,00:00:00.4001078
ClassicLru,50000,0.5,1000000,False,40,52.372,00:00:00.2045171
ConcurrentLru,50000,0.5,1000000,False,40,48.7741,00:00:00.1666903
ClassicLru,50000,0.5,1000000,True,40,34.3167,00:00:00.4195906
ConcurrentLru,50000,0.5,1000000,True,40,39.7269,00:00:00.3597472
ClassicLru,50000,0.86,1000000,False,1.25,28.6258,00:00:00.1305913
ConcurrentLru,50000,0.86,1000000,False,1.25,39.5802,00:00:00.1435498
ClassicLru,50000,0.86,1000000,True,1.25,11.40245,00:00:00.2788426
ConcurrentLru,50000,0.86,1000000,True,1.25,19.5874,00:00:00.3361669
ClassicLru,50000,0.86,1000000,False,2.5,35.824,00:00:00.1278146
ConcurrentLru,50000,0.86,1000000,False,2.5,45.839400000000005,00:00:00.1252167
ClassicLru,50000,0.86,1000000,True,2.5,14.84555,00:00:00.2942189
ConcurrentLru,50000,0.86,1000000,True,2.5,22.8626,00:00:00.3408684
ClassicLru,50000,0.86,1000000,False,5,44.115300000000005,00:00:00.1307355
ConcurrentLru,50000,0.86,1000000,False,5,52.172200000000004,00:00:00.1154776
ClassicLru,50000,0.86,1000000,True,5,19.1643,00:00:00.3024285
ConcurrentLru,50000,0.86,1000000,True,5,26.9347,00:00:00.3111068
ClassicLru,50000,0.86,1000000,False,7.5,49.5789,00:00:00.1237311
ConcurrentLru,50000,0.86,1000000,False,7.5,56.112300000000005,00:00:00.1096924
ClassicLru,50000,0.86,1000000,True,7.5,22.25985,00:00:00.2933371
ConcurrentLru,50000,0.86,1000000,True,7.5,29.8105,00:00:00.3235635
ClassicLru,50000,0.86,1000000,False,10,53.7961,00:00:00.1278199
ConcurrentLru,50000,0.86,1000000,False,10,58.997,00:00:00.1072681
ClassicLru,50000,0.86,1000000,True,10,24.767,00:00:00.2885233
ConcurrentLru,50000,0.86,1000000,True,10,32.240649999999995,00:00:00.3103896
ClassicLru,50000,0.86,1000000,False,12.5,57.26599999999999,00:00:00.1266969
ConcurrentLru,50000,0.86,1000000,False,12.5,61.2285,00:00:00.1087962
ClassicLru,50000,0.86,1000000,True,12.5,26.9731,00:00:00.2937468
ConcurrentLru,50000,0.86,1000000,True,12.5,34.1723,00:00:00.3051355
ClassicLru,50000,0.86,1000000,False,15,60.20870000000001,00:00:00.1646742
ConcurrentLru,50000,0.86,1000000,False,15,63.132999999999996,00:00:00.1043032
ClassicLru,50000,0.86,1000000,True,15,28.9509,00:00:00.3021857
ConcurrentLru,50000,0.86,1000000,True,15,36.019,00:00:00.3124135
ClassicLru,50000,0.86,1000000,False,20,65.1139,00:00:00.1318386
ConcurrentLru,50000,0.86,1000000,False,20,66.1722,00:00:00.1027002
ClassicLru,50000,0.86,1000000,True,20,32.4364,00:00:00.3187534
ConcurrentLru,50000,0.86,1000000,True,20,39.500299999999996,00:00:00.3111592
ClassicLru,50000,0.86,1000000,False,25,69.11580000000001,00:00:00.1347156
ConcurrentLru,50000,0.86,1000000,False,25,68.6853,00:00:00.1009164
ClassicLru,50000,0.86,1000000,True,25,35.53165,00:00:00.3426258
ConcurrentLru,50000,0.86,1000000,True,25,42.57165,00:00:00.3094430
ClassicLru,50000,0.86,1000000,False,30,72.5367,00:00:00.1391942
ConcurrentLru,50000,0.86,1000000,False,30,70.77590000000001,00:00:00.0987714
ClassicLru,50000,0.86,1000000,True,30,38.3642,00:00:00.3655858
ConcurrentLru,50000,0.86,1000000,True,30,45.641999999999996,00:00:00.2997847
ClassicLru,50000,0.86,1000000,False,35,75.5104,00:00:00.1412694
ConcurrentLru,50000,0.86,1000000,False,35,72.47789999999999,00:00:00.0937578
ClassicLru,50000,0.86,1000000,True,35,40.963699999999996,00:00:00.3635900
ConcurrentLru,50000,0.86,1000000,True,35,48.416,00:00:00.2923343
ClassicLru,50000,0.86,1000000,False,40,78.1801,00:00:00.1442100
ConcurrentLru,50000,0.86,1000000,False,40,74.0346,00:00:00.0946084
ClassicLru,50000,0.86,1000000,True,40,43.4043,00:00:00.3666174
ConcurrentLru,50000,0.86,1000000,True,40,51.087950000000006,00:00:00.2901073
